Zodiac,omission,consecutive,density,longterm_density,calibrated_rate,bayes_open_prob,logistic_veto_prob,zodiac_analyzer_score,f2_combo_veto,f5_recovery_triggered,f5_recovery_rate
马,2.0000,0.0000,3.0000,30.0000,0.6333,0.5093,0.4930,15.5000,0.0000,0.0000,0.0000
蛇,0.0000,1.0000,2.0000,22.0000,0.3667,0.3805,0.6056,-7.5000,1.0000,0.0000,0.0000
龙,2.0000,0.0000,2.0000,17.0000,0.3417,0.4211,0.5548,4.0000,1.0000,0.0000,0.0000
兔,0.0000,1.0000,4.0000,30.0000,0.7250,0.5935,0.4314,24.0000,0.0000,0.0000,0.0000
虎,1.0000,0.0000,2.0000,14.0000,0.3250,0.4211,0.5548,-3.5000,1.0000,1.0000,0.2308
牛,0.0000,1.0000,2.0000,29.0000,0.4167,0.3805,0.6056,6.0000,0.0000,0.0000,0.0000
鼠,1.0000,0.0000,2.0000,20.0000,0.5500,0.4112,0.5733,1.5000,0.0000,1.0000,0.5714
猪,0.0000,4.0000,4.0000,26.0000,0.6667,0.6700,0.4206,9.5000,0.0000,0.0000,0.0000
狗,0.0000,1.0000,3.0000,24.0000,0.4917,0.4772,0.5264,4.0000,1.0000,0.0000,0.0000
鸡,1.0000,0.0000,1.0000,27.0000,0.3000,0.4676,0.5193,18.5000,0.0000,1.0000,0.5333
猴,0.0000,1.0000,3.0000,28.0000,0.6833,0.4772,0.5264,25.0000,0.0000,0.0000,0.0000
羊,1.0000,0.0000,2.0000,19.0000,0.2500,0.4112,0.5733,10.0000,1.0000,1.0000,0.2500
