Zodiac,omission,consecutive,density,longterm_density,calibrated_rate,bayes_open_prob,logistic_veto_prob,zodiac_analyzer_score,f2_combo_veto,f5_recovery_triggered,f5_recovery_rate
马,1.0000,0.0000,2.0000,25.0000,0.4750,0.4282,0.5589,10.0000,0.0000,1.0000,0.5000
蛇,0.0000,2.0000,4.0000,25.0000,0.7083,0.6350,0.4207,7.5000,0.0000,0.0000,0.0000
龙,2.0000,0.0000,2.0000,16.0000,0.3417,0.4492,0.5281,-5.0000,0.0000,0.0000,0.0000
兔,1.0000,0.0000,1.0000,31.0000,0.4333,0.4511,0.5393,4.0000,0.0000,1.0000,0.5882
虎,0.0000,1.0000,3.0000,21.0000,0.7250,0.4655,0.5319,-14.5000,1.0000,0.0000,0.0000
牛,1.0000,0.0000,1.0000,26.0000,0.3500,0.4511,0.5393,24.0000,0.0000,1.0000,0.6316
鼠,0.0000,5.0000,5.0000,26.0000,0.7833,0.3791,0.5848,14.0000,0.0000,0.0000,0.0000
猪,3.0000,0.0000,1.0000,27.0000,0.3417,0.4511,0.5393,29.5000,0.0000,0.0000,0.0000
狗,1.0000,0.0000,1.0000,22.0000,0.1583,0.4511,0.5393,12.0000,0.0000,1.0000,0.4118
鸡,0.0000,1.0000,3.0000,27.0000,0.6250,0.4655,0.5319,9.0000,0.0000,0.0000,0.0000
猴,0.0000,1.0000,1.0000,25.0000,0.2917,0.4244,0.5765,-1.0000,0.0000,0.0000,0.0000
羊,2.0000,0.0000,1.0000,17.0000,0.3417,0.4723,0.5083,-10.0000,1.0000,0.0000,0.0000
