Zodiac,omission,consecutive,density,longterm_density,calibrated_rate,bayes_open_prob,logistic_veto_prob,zodiac_analyzer_score,f2_combo_veto,f5_recovery_triggered,f5_recovery_rate
马,0.0000,1.0000,4.0000,29.0000,0.6417,0.6217,0.4136,5.5000,0.0000,0.0000,0.0000
蛇,2.0000,0.0000,2.0000,22.0000,0.4083,0.3837,0.5981,-1.0000,0.0000,0.0000,0.0000
龙,3.0000,0.0000,2.0000,18.0000,0.3000,0.4076,0.5670,-2.5000,0.0000,0.0000,0.0000
兔,0.0000,1.0000,3.0000,29.0000,0.7000,0.4897,0.5189,-1.0000,0.0000,0.0000,0.0000
虎,3.0000,0.0000,1.0000,13.0000,0.2417,0.4586,0.5118,-9.0000,1.0000,0.0000,0.0000
牛,1.0000,0.0000,2.0000,30.0000,0.5083,0.3837,0.5981,-6.5000,0.0000,1.0000,0.6923
鼠,0.0000,1.0000,4.0000,20.0000,0.6167,0.6217,0.4136,-9.0000,0.0000,0.0000,0.0000
猪,1.0000,0.0000,3.0000,24.0000,0.5250,0.4948,0.5089,0.0000,0.0000,1.0000,0.5000
狗,1.0000,0.0000,2.0000,25.0000,0.4167,0.3837,0.5981,-2.5000,0.0000,1.0000,0.4286
鸡,1.0000,0.0000,1.0000,28.0000,0.4667,0.4339,0.5438,8.0000,0.0000,1.0000,0.5714
猴,0.0000,3.0000,3.0000,27.0000,0.7500,0.5837,0.5056,-9.0000,0.0000,0.0000,0.0000
羊,5.0000,0.0000,0.0000,21.0000,0.1583,0.4759,0.5098,-2.5000,1.0000,0.0000,0.0000
