Zodiac,omission,consecutive,density,longterm_density,calibrated_rate,bayes_open_prob,logistic_veto_prob,zodiac_analyzer_score,f2_combo_veto,f5_recovery_triggered,f5_recovery_rate
马,0.0000,1.0000,2.0000,29.0000,0.6000,0.3951,0.5968,20.5000,0.0000,0.0000,0.0000
蛇,2.0000,0.0000,1.0000,22.0000,0.2750,0.4718,0.5195,-3.5000,0.0000,0.0000,0.0000
龙,1.0000,0.0000,2.0000,17.0000,0.3750,0.4338,0.5468,6.0000,1.0000,1.0000,0.2308
兔,1.0000,0.0000,3.0000,31.0000,0.6667,0.5014,0.4982,23.5000,0.0000,1.0000,0.6429
虎,0.0000,2.0000,3.0000,15.0000,0.4833,0.5605,0.4690,8.0000,1.0000,0.0000,0.0000
牛,1.0000,0.0000,2.0000,28.0000,0.4250,0.4167,0.5721,10.5000,0.0000,1.0000,0.6667
鼠,3.0000,0.0000,2.0000,20.0000,0.4167,0.4167,0.5721,-3.5000,1.0000,0.0000,0.0000
猪,0.0000,1.0000,4.0000,26.0000,0.6500,0.5967,0.4259,8.0000,1.0000,0.0000,0.0000
狗,1.0000,0.0000,2.0000,25.0000,0.4917,0.4167,0.5721,6.5000,0.0000,1.0000,0.4375
鸡,0.0000,2.0000,3.0000,28.0000,0.4500,0.5432,0.4946,10.0000,0.0000,0.0000,0.0000
猴,0.0000,1.0000,3.0000,27.0000,0.6333,0.4790,0.5236,17.5000,1.0000,0.0000,0.0000
羊,0.0000,1.0000,2.0000,18.0000,0.3250,0.4120,0.5719,22.0000,0.0000,0.0000,0.0000
