Zodiac,omission,consecutive,density,longterm_density,calibrated_rate,bayes_open_prob,logistic_veto_prob,zodiac_analyzer_score,f2_combo_veto,f5_recovery_triggered,f5_recovery_rate
马,0.0000,1.0000,2.0000,28.0000,0.4917,0.4055,0.5861,14.0000,0.0000,0.0000,0.0000
蛇,0.0000,1.0000,2.0000,23.0000,0.4083,0.4055,0.5861,19.5000,0.0000,0.0000,0.0000
龙,0.0000,2.0000,3.0000,18.0000,0.4750,0.5170,0.5002,7.5000,0.0000,0.0000,0.0000
兔,1.0000,0.0000,2.0000,30.0000,0.5333,0.4162,0.5725,-2.5000,0.0000,1.0000,0.6000
虎,0.0000,2.0000,4.0000,16.0000,0.5750,0.6530,0.3875,-16.5000,1.0000,0.0000,0.0000
牛,2.0000,0.0000,2.0000,27.0000,0.3917,0.4162,0.5725,21.0000,0.0000,0.0000,0.0000
鼠,1.0000,0.0000,2.0000,22.0000,0.4583,0.4162,0.5725,7.0000,0.0000,1.0000,0.5333
猪,2.0000,0.0000,2.0000,26.0000,0.5583,0.4162,0.5725,27.5000,0.0000,0.0000,0.0000
狗,4.0000,0.0000,1.0000,24.0000,0.3250,0.4762,0.5156,6.0000,0.0000,0.0000,0.0000
鸡,0.0000,5.0000,5.0000,30.0000,0.6500,0.3422,0.5958,-0.5000,1.0000,0.0000,0.0000
猴,2.0000,0.0000,2.0000,27.0000,0.5167,0.4162,0.5725,1.5000,0.0000,0.0000,0.0000
羊,2.0000,0.0000,2.0000,17.0000,0.3333,0.4392,0.5439,-3.0000,0.0000,0.0000,0.0000
