Zodiac,omission,consecutive,density,longterm_density,calibrated_rate,bayes_open_prob,logistic_veto_prob,zodiac_analyzer_score,f2_combo_veto,f5_recovery_triggered,f5_recovery_rate
马,3.0000,0.0000,2.0000,29.0000,0.5500,0.4108,0.5747,28.0000,0.0000,0.0000,0.0000
蛇,1.0000,0.0000,2.0000,22.0000,0.3167,0.4108,0.5747,3.5000,0.0000,1.0000,0.5000
龙,0.0000,1.0000,2.0000,18.0000,0.4250,0.4029,0.5779,13.5000,0.0000,0.0000,0.0000
兔,0.0000,2.0000,4.0000,31.0000,0.7583,0.6750,0.3827,22.5000,0.0000,0.0000,0.0000
虎,0.0000,1.0000,2.0000,15.0000,0.4083,0.4029,0.5779,6.0000,1.0000,0.0000,0.0000
牛,0.0000,2.0000,2.0000,29.0000,0.4833,0.4718,0.5553,8.0000,1.0000,0.0000,0.0000
鼠,2.0000,0.0000,2.0000,20.0000,0.4833,0.4108,0.5747,-1.0000,0.0000,0.0000,0.0000
猪,1.0000,0.0000,4.0000,25.0000,0.5917,0.6185,0.4015,8.0000,0.0000,1.0000,0.4667
狗,0.0000,2.0000,3.0000,25.0000,0.5583,0.5634,0.4790,8.0000,0.0000,0.0000,0.0000
鸡,0.0000,1.0000,2.0000,27.0000,0.3750,0.3850,0.6031,10.0000,0.0000,0.0000,0.0000
猴,1.0000,0.0000,3.0000,27.0000,0.5917,0.5018,0.4988,20.0000,0.0000,1.0000,0.5714
羊,2.0000,0.0000,1.0000,18.0000,0.2250,0.4871,0.4927,16.0000,0.0000,0.0000,0.0000
