Zodiac,omission,consecutive,density,longterm_density,calibrated_rate,bayes_open_prob,logistic_veto_prob,zodiac_analyzer_score,f2_combo_veto,f5_recovery_triggered,f5_recovery_rate
马,2.0000,0.0000,2.0000,25.0000,0.4000,0.4278,0.5604,4.0000,0.0000,0.0000,0.0000
蛇,0.0000,4.0000,4.0000,23.0000,0.6583,0.6880,0.4063,22.5000,0.0000,0.0000,0.0000
龙,0.0000,1.0000,1.0000,16.0000,0.3667,0.4653,0.5291,-4.5000,0.0000,0.0000,0.0000
兔,2.0000,0.0000,3.0000,31.0000,0.5167,0.4897,0.5001,19.0000,0.0000,0.0000,0.0000
虎,1.0000,0.0000,4.0000,20.0000,0.7250,0.6268,0.3933,-21.5000,0.0000,1.0000,0.3333
牛,2.0000,0.0000,2.0000,27.0000,0.3667,0.4278,0.5604,-17.5000,0.0000,0.0000,0.0000
鼠,0.0000,2.0000,4.0000,25.0000,0.6333,0.6307,0.4254,-11.0000,0.0000,0.0000,0.0000
猪,0.0000,1.0000,3.0000,28.0000,0.5583,0.4763,0.5244,9.5000,0.0000,0.0000,0.0000
狗,9.0000,0.0000,0.0000,22.0000,0.1167,0.4570,0.5245,-6.5000,1.0000,0.0000,0.0000
鸡,1.0000,0.0000,2.0000,27.0000,0.5917,0.4278,0.5604,12.0000,0.0000,1.0000,0.5294
猴,3.0000,0.0000,1.0000,26.0000,0.3083,0.4512,0.5388,-7.5000,0.0000,0.0000,0.0000
羊,2.0000,0.0000,2.0000,17.0000,0.3667,0.4551,0.5267,-6.5000,0.0000,0.0000,0.0000
