Zodiac,omission,consecutive,density,longterm_density,calibrated_rate,bayes_open_prob,logistic_veto_prob,zodiac_analyzer_score,f2_combo_veto,f5_recovery_triggered,f5_recovery_rate
马,0.0000,2.0000,4.0000,29.0000,0.7000,0.7010,0.3646,21.0000,0.0000,0.0000,0.0000
蛇,3.0000,0.0000,1.0000,22.0000,0.3417,0.4348,0.5421,19.5000,0.0000,0.0000,0.0000
龙,0.0000,1.0000,2.0000,18.0000,0.3917,0.4158,0.5664,25.0000,0.0000,0.0000,0.0000
兔,0.0000,2.0000,3.0000,29.0000,0.7333,0.5766,0.4708,4.0000,1.0000,0.0000,0.0000
虎,0.0000,1.0000,2.0000,14.0000,0.3417,0.4158,0.5664,-7.0000,1.0000,0.0000,0.0000
牛,0.0000,1.0000,3.0000,30.0000,0.5667,0.4854,0.5220,-4.5000,0.0000,0.0000,0.0000
鼠,1.0000,0.0000,3.0000,20.0000,0.5583,0.4902,0.5105,8.5000,1.0000,1.0000,0.6154
猪,2.0000,0.0000,2.0000,23.0000,0.4500,0.3918,0.5897,2.0000,1.0000,0.0000,0.0000
狗,0.0000,1.0000,2.0000,25.0000,0.4833,0.3872,0.6008,-5.0000,1.0000,0.0000,0.0000
鸡,2.0000,0.0000,1.0000,27.0000,0.4000,0.4348,0.5421,7.5000,1.0000,0.0000,0.0000
猴,1.0000,0.0000,3.0000,27.0000,0.6583,0.4902,0.5105,-2.0000,0.0000,1.0000,0.5000
羊,0.0000,1.0000,1.0000,22.0000,0.2500,0.4301,0.5535,-4.5000,0.0000,0.0000,0.0000
