Zodiac,omission,consecutive,density,longterm_density,calibrated_rate,bayes_open_prob,logistic_veto_prob,zodiac_analyzer_score,f2_combo_veto,f5_recovery_triggered,f5_recovery_rate
马,0.0000,4.0000,4.0000,31.0000,0.8000,0.6943,0.4048,14.0000,0.0000,0.0000,0.0000
蛇,1.0000,0.0000,1.0000,23.0000,0.3500,0.4429,0.5363,4.0000,0.0000,1.0000,0.5333
龙,0.0000,1.0000,2.0000,18.0000,0.4333,0.4073,0.5752,8.0000,0.0000,0.0000,0.0000
兔,0.0000,4.0000,4.0000,29.0000,0.7917,0.6943,0.4048,21.5000,1.0000,0.0000,0.0000
虎,2.0000,0.0000,1.0000,13.0000,0.2750,0.4590,0.5134,-6.0000,0.0000,0.0000,0.0000
牛,2.0000,0.0000,2.0000,29.0000,0.4167,0.4074,0.5752,10.0000,0.0000,0.0000,0.0000
鼠,0.0000,1.0000,2.0000,20.0000,0.5667,0.3918,0.5975,2.0000,0.0000,0.0000,0.0000
猪,0.0000,2.0000,3.0000,25.0000,0.5667,0.5752,0.4728,6.0000,1.0000,0.0000,0.0000
狗,1.0000,0.0000,3.0000,24.0000,0.4750,0.4964,0.5031,6.0000,0.0000,1.0000,0.4667
鸡,4.0000,0.0000,1.0000,26.0000,0.2833,0.4429,0.5363,6.0000,0.0000,0.0000,0.0000
猴,0.0000,2.0000,4.0000,29.0000,0.7417,0.7066,0.3602,21.0000,0.0000,0.0000,0.0000
羊,2.0000,0.0000,1.0000,20.0000,0.1750,0.4429,0.5363,6.0000,0.0000,0.0000,0.0000
