Zodiac,omission,consecutive,density,longterm_density,calibrated_rate,bayes_open_prob,logistic_veto_prob,zodiac_analyzer_score,f2_combo_veto,f5_recovery_triggered,f5_recovery_rate
马,2.0000,0.0000,1.0000,27.0000,0.4417,0.4782,0.5142,16.0000,0.0000,0.0000,0.0000
蛇,1.0000,0.0000,2.0000,23.0000,0.3250,0.4228,0.5658,11.0000,0.0000,1.0000,0.4706
龙,0.0000,1.0000,2.0000,18.0000,0.4000,0.4201,0.5655,-5.0000,0.0000,0.0000,0.0000
兔,0.0000,1.0000,3.0000,31.0000,0.6167,0.4768,0.5235,3.0000,0.0000,0.0000,0.0000
虎,0.0000,1.0000,3.0000,15.0000,0.5083,0.4933,0.5004,-9.5000,1.0000,0.0000,0.0000
牛,1.0000,0.0000,3.0000,28.0000,0.4417,0.4961,0.5007,26.0000,0.0000,1.0000,0.6875
鼠,0.0000,2.0000,2.0000,22.0000,0.5333,0.4390,0.5816,10.0000,0.0000,0.0000,0.0000
猪,1.0000,0.0000,3.0000,26.0000,0.6333,0.4961,0.5007,34.0000,0.0000,1.0000,0.5000
狗,3.0000,0.0000,2.0000,24.0000,0.3750,0.4228,0.5658,16.0000,0.0000,0.0000,0.0000
鸡,0.0000,4.0000,4.0000,29.0000,0.5833,0.6618,0.4244,-2.5000,0.0000,0.0000,0.0000
猴,1.0000,0.0000,3.0000,27.0000,0.5917,0.4961,0.5007,1.0000,0.0000,1.0000,0.6000
羊,1.0000,0.0000,2.0000,17.0000,0.3750,0.4391,0.5430,-9.0000,0.0000,1.0000,0.2308
