Zodiac,omission,consecutive,density,longterm_density,calibrated_rate,bayes_open_prob,logistic_veto_prob,zodiac_analyzer_score,f2_combo_veto,f5_recovery_triggered,f5_recovery_rate
马,1.0000,0.0000,4.0000,30.0000,0.7167,0.6178,0.4033,10.5000,0.0000,1.0000,0.5833
蛇,2.0000,0.0000,1.0000,22.0000,0.2917,0.4531,0.5298,18.5000,0.0000,0.0000,0.0000
龙,1.0000,0.0000,2.0000,17.0000,0.3833,0.4250,0.5525,10.5000,1.0000,1.0000,0.2500
兔,1.0000,0.0000,4.0000,29.0000,0.6917,0.6178,0.4033,19.0000,0.0000,1.0000,0.6154
虎,0.0000,1.0000,2.0000,14.0000,0.3667,0.4092,0.5728,-25.5000,1.0000,0.0000,0.0000
牛,3.0000,0.0000,1.0000,29.0000,0.3500,0.4531,0.5298,21.5000,0.0000,0.0000,0.0000
鼠,0.0000,2.0000,3.0000,20.0000,0.6250,0.5728,0.4738,-3.0000,1.0000,0.0000,0.0000
猪,0.0000,3.0000,3.0000,26.0000,0.6167,0.5457,0.5286,16.5000,0.0000,0.0000,0.0000
狗,2.0000,0.0000,2.0000,24.0000,0.4167,0.4058,0.5786,5.5000,0.0000,0.0000,0.0000
鸡,0.0000,1.0000,1.0000,27.0000,0.3583,0.4370,0.5504,3.5000,0.0000,0.0000,0.0000
猴,1.0000,0.0000,3.0000,28.0000,0.6500,0.4961,0.5047,-0.5000,0.0000,1.0000,0.5385
羊,0.0000,1.0000,2.0000,20.0000,0.2750,0.3902,0.5986,-10.0000,0.0000,0.0000,0.0000
