Zodiac,omission,consecutive,density,longterm_density,calibrated_rate,bayes_open_prob,logistic_veto_prob,zodiac_analyzer_score,f2_combo_veto,f5_recovery_triggered,f5_recovery_rate
马,2.0000,0.0000,2.0000,24.0000,0.4250,0.4277,0.5576,15.0000,0.0000,0.0000,0.0000
蛇,1.0000,0.0000,3.0000,25.0000,0.6333,0.4997,0.4861,-0.5000,0.0000,1.0000,0.5500
龙,0.0000,1.0000,3.0000,16.0000,0.4250,0.4901,0.4960,4.0000,1.0000,0.0000,0.0000
兔,0.0000,1.0000,2.0000,31.0000,0.5000,0.4002,0.5959,21.5000,0.0000,0.0000,0.0000
虎,0.0000,2.0000,3.0000,22.0000,0.7583,0.5017,0.5280,4.0000,1.0000,0.0000,0.0000
牛,2.0000,0.0000,1.0000,25.0000,0.3000,0.4358,0.5502,4.0000,1.0000,0.0000,0.0000
鼠,0.0000,6.0000,5.0000,26.0000,0.8250,0.4211,0.5694,4.0000,0.0000,0.0000,0.0000
猪,0.0000,1.0000,2.0000,28.0000,0.4083,0.4002,0.5959,-1.0000,1.0000,0.0000,0.0000
狗,2.0000,0.0000,1.0000,22.0000,0.1333,0.4358,0.5502,4.0000,0.0000,0.0000,0.0000
鸡,0.0000,2.0000,3.0000,27.0000,0.6667,0.5017,0.5280,8.0000,0.0000,0.0000,0.0000
猴,1.0000,0.0000,1.0000,25.0000,0.2500,0.4358,0.5502,14.0000,0.0000,1.0000,0.5294
羊,3.0000,0.0000,1.0000,16.0000,0.2917,0.4542,0.5211,11.5000,1.0000,0.0000,0.0000
