Zodiac,omission,consecutive,density,longterm_density,calibrated_rate,bayes_open_prob,logistic_veto_prob,zodiac_analyzer_score,f2_combo_veto,f5_recovery_triggered,f5_recovery_rate
马,1.0000,0.0000,4.0000,28.0000,0.5750,0.6195,0.4127,-0.5000,0.0000,1.0000,0.5455
蛇,1.0000,0.0000,2.0000,22.0000,0.4750,0.3990,0.5834,10.5000,1.0000,1.0000,0.5714
龙,2.0000,0.0000,2.0000,19.0000,0.3417,0.3990,0.5834,5.5000,1.0000,0.0000,0.0000
兔,2.0000,0.0000,3.0000,28.0000,0.6583,0.4913,0.5134,17.5000,0.0000,0.0000,0.0000
虎,2.0000,0.0000,2.0000,14.0000,0.2750,0.4196,0.5568,-14.5000,0.0000,0.0000,0.0000
牛,0.0000,2.0000,2.0000,31.0000,0.5750,0.5007,0.5300,23.0000,0.0000,0.0000,0.0000
鼠,1.0000,0.0000,4.0000,19.0000,0.5417,0.6195,0.4127,8.5000,0.0000,1.0000,0.5833
猪,0.0000,2.0000,3.0000,24.0000,0.6083,0.5933,0.4594,28.0000,0.0000,0.0000,0.0000
狗,0.0000,1.0000,2.0000,25.0000,0.4750,0.4007,0.5875,15.5000,0.0000,0.0000,0.0000
鸡,0.0000,1.0000,2.0000,29.0000,0.5417,0.4007,0.5875,10.0000,0.0000,0.0000,0.0000
猴,0.0000,2.0000,3.0000,27.0000,0.7083,0.5933,0.4594,1.0000,0.0000,0.0000,0.0000
羊,4.0000,0.0000,1.0000,22.0000,0.1917,0.4390,0.5371,6.0000,0.0000,0.0000,0.0000
