Zodiac,omission,consecutive,density,longterm_density,calibrated_rate,bayes_open_prob,logistic_veto_prob,zodiac_analyzer_score,f2_combo_veto,f5_recovery_triggered,f5_recovery_rate
马,1.0000,0.0000,3.0000,26.0000,0.4667,0.4979,0.4949,6.5000,0.0000,1.0000,0.5333
蛇,0.0000,3.0000,4.0000,23.0000,0.5917,0.6833,0.4105,7.5000,0.0000,0.0000,0.0000
龙,4.0000,0.0000,1.0000,16.0000,0.2833,0.4787,0.5048,-11.0000,1.0000,0.0000,0.0000
兔,1.0000,0.0000,3.0000,31.0000,0.6000,0.4979,0.4949,27.0000,0.0000,1.0000,0.6250
虎,0.0000,6.0000,5.0000,20.0000,0.8083,0.3985,0.5723,-15.5000,0.0000,0.0000,0.0000
牛,1.0000,0.0000,2.0000,28.0000,0.4167,0.4335,0.5546,-15.0000,0.0000,1.0000,0.6667
鼠,0.0000,1.0000,3.0000,25.0000,0.5750,0.4850,0.5178,-28.5000,0.0000,0.0000,0.0000
猪,2.0000,0.0000,2.0000,27.0000,0.5000,0.4335,0.5546,6.5000,0.0000,0.0000,0.0000
狗,8.0000,0.0000,0.0000,22.0000,0.1500,0.4031,0.5340,-1.0000,0.0000,0.0000,0.0000
鸡,0.0000,2.0000,3.0000,28.0000,0.6583,0.5021,0.5258,10.0000,0.0000,0.0000,0.0000
猴,2.0000,0.0000,1.0000,26.0000,0.3667,0.4564,0.5320,-7.5000,0.0000,0.0000,0.0000
羊,1.0000,0.0000,2.0000,17.0000,0.4167,0.4557,0.5275,-3.0000,0.0000,1.0000,0.2667
