Zodiac,omission,consecutive,density,longterm_density,calibrated_rate,bayes_open_prob,logistic_veto_prob,zodiac_analyzer_score,f2_combo_veto,f5_recovery_triggered,f5_recovery_rate
马,0.0000,2.0000,3.0000,25.0000,0.5333,0.4880,0.5376,17.0000,0.0000,0.0000,0.0000
蛇,0.0000,1.0000,4.0000,24.0000,0.6500,0.6113,0.4181,5.5000,1.0000,0.0000,0.0000
龙,1.0000,0.0000,2.0000,16.0000,0.3917,0.4597,0.5214,4.0000,0.0000,1.0000,0.2000
兔,0.0000,1.0000,2.0000,32.0000,0.5000,0.4122,0.5874,25.5000,0.0000,0.0000,0.0000
虎,1.0000,0.0000,3.0000,20.0000,0.6833,0.4871,0.5014,4.0000,0.0000,1.0000,0.3750
牛,0.0000,1.0000,2.0000,27.0000,0.4000,0.4122,0.5874,4.0000,0.0000,0.0000,0.0000
鼠,0.0000,4.0000,4.0000,26.0000,0.7417,0.6885,0.4062,2.0000,1.0000,0.0000,0.0000
猪,2.0000,0.0000,1.0000,27.0000,0.4083,0.4560,0.5358,8.0000,1.0000,0.0000,0.0000
狗,0.0000,1.0000,1.0000,22.0000,0.1833,0.4344,0.5680,6.0000,1.0000,0.0000,0.0000
鸡,1.0000,0.0000,3.0000,27.0000,0.5750,0.4871,0.5014,14.0000,0.0000,1.0000,0.5556
猴,5.0000,0.0000,0.0000,25.0000,0.2083,0.4045,0.5402,17.5000,1.0000,0.0000,0.0000
羊,1.0000,0.0000,2.0000,18.0000,0.3917,0.4597,0.5214,6.0000,1.0000,1.0000,0.2500
