Zodiac,omission,consecutive,density,longterm_density,calibrated_rate,bayes_open_prob,logistic_veto_prob,zodiac_analyzer_score,f2_combo_veto,f5_recovery_triggered,f5_recovery_rate
马,1.0000,0.0000,1.0000,28.0000,0.5167,0.4781,0.5124,27.0000,0.0000,1.0000,0.5385
蛇,0.0000,1.0000,2.0000,23.0000,0.3667,0.4070,0.5860,17.5000,0.0000,0.0000,0.0000
龙,2.0000,0.0000,1.0000,17.0000,0.3250,0.4874,0.4949,30.5000,1.0000,0.0000,0.0000
兔,2.0000,0.0000,2.0000,31.0000,0.5750,0.4214,0.5677,3.0000,0.0000,0.0000,0.0000
虎,1.0000,0.0000,3.0000,14.0000,0.4333,0.5127,0.4792,-4.5000,1.0000,1.0000,0.2857
牛,0.0000,1.0000,3.0000,28.0000,0.5000,0.4886,0.5154,5.5000,0.0000,0.0000,0.0000
鼠,0.0000,1.0000,2.0000,21.0000,0.4750,0.4070,0.5860,6.0000,1.0000,0.0000,0.0000
猪,0.0000,2.0000,4.0000,27.0000,0.7083,0.6611,0.3929,5.0000,0.0000,0.0000,0.0000
狗,2.0000,0.0000,2.0000,24.0000,0.4333,0.4214,0.5677,1.0000,0.0000,0.0000,0.0000
鸡,0.0000,3.0000,4.0000,29.0000,0.5167,0.6600,0.4258,12.0000,0.0000,0.0000,0.0000
猴,0.0000,2.0000,3.0000,27.0000,0.6750,0.5443,0.4934,-1.0000,0.0000,0.0000,0.0000
羊,0.0000,2.0000,3.0000,18.0000,0.4167,0.5535,0.4759,-3.5000,0.0000,0.0000,0.0000
