Zodiac,omission,consecutive,density,longterm_density,calibrated_rate,bayes_open_prob,logistic_veto_prob,zodiac_analyzer_score,f2_combo_veto,f5_recovery_triggered,f5_recovery_rate
马,1.0000,0.0000,2.0000,27.0000,0.4167,0.4285,0.5583,10.5000,0.0000,1.0000,0.5000
蛇,1.0000,0.0000,2.0000,22.0000,0.3583,0.4285,0.5583,-8.5000,0.0000,1.0000,0.5000
龙,1.0000,0.0000,2.0000,17.0000,0.4167,0.4600,0.5229,4.0000,1.0000,1.0000,0.2143
兔,0.0000,1.0000,2.0000,31.0000,0.5833,0.4082,0.5850,9.0000,0.0000,0.0000,0.0000
虎,0.0000,3.0000,4.0000,17.0000,0.6417,0.7061,0.3772,2.0000,1.0000,0.0000,0.0000
牛,0.0000,1.0000,2.0000,28.0000,0.4667,0.4082,0.5850,9.5000,0.0000,0.0000,0.0000
鼠,0.0000,1.0000,3.0000,23.0000,0.5167,0.4572,0.5392,-2.5000,0.0000,0.0000,0.0000
猪,0.0000,1.0000,3.0000,27.0000,0.6083,0.4572,0.5392,2.0000,0.0000,0.0000,0.0000
狗,5.0000,0.0000,0.0000,24.0000,0.2750,0.5188,0.4922,2.0000,0.0000,0.0000,0.0000
鸡,1.0000,0.0000,4.0000,29.0000,0.5917,0.6282,0.3908,14.0000,1.0000,1.0000,0.5625
猴,3.0000,0.0000,2.0000,27.0000,0.4500,0.4285,0.5583,22.0000,0.0000,0.0000,0.0000
羊,0.0000,1.0000,3.0000,18.0000,0.4250,0.4891,0.5036,16.0000,1.0000,0.0000,0.0000
