Zodiac,omission,consecutive,density,longterm_density,calibrated_rate,bayes_open_prob,logistic_veto_prob,zodiac_analyzer_score,f2_combo_veto,f5_recovery_triggered,f5_recovery_rate
马,0.0000,2.0000,3.0000,27.0000,0.5333,0.4915,0.5328,25.0000,0.0000,0.0000,0.0000
蛇,0.0000,2.0000,3.0000,23.0000,0.5167,0.4915,0.5328,23.5000,0.0000,0.0000,0.0000
龙,3.0000,0.0000,2.0000,17.0000,0.3250,0.4666,0.5185,21.0000,1.0000,0.0000,0.0000
兔,0.0000,3.0000,4.0000,32.0000,0.6833,0.6864,0.4058,10.0000,0.0000,0.0000,0.0000
虎,0.0000,5.0000,5.0000,19.0000,0.7583,0.3536,0.5831,1.5000,1.0000,0.0000,0.0000
牛,0.0000,1.0000,2.0000,28.0000,0.4750,0.4276,0.5698,4.0000,1.0000,0.0000,0.0000
鼠,1.0000,0.0000,3.0000,24.0000,0.5083,0.4919,0.5003,6.5000,1.0000,1.0000,0.5625
猪,1.0000,0.0000,2.0000,27.0000,0.5750,0.4421,0.5466,4.0000,0.0000,1.0000,0.4706
狗,7.0000,0.0000,0.0000,22.0000,0.1917,0.4364,0.5190,3.5000,1.0000,0.0000,0.0000
鸡,0.0000,1.0000,3.0000,28.0000,0.6000,0.4773,0.5238,13.5000,1.0000,0.0000,0.0000
猴,1.0000,0.0000,1.0000,27.0000,0.4333,0.4607,0.5282,6.5000,1.0000,1.0000,0.5625
羊,0.0000,1.0000,2.0000,18.0000,0.4667,0.4520,0.5420,-1.0000,1.0000,0.0000,0.0000
