Zodiac,omission,consecutive,density,longterm_density,calibrated_rate,bayes_open_prob,logistic_veto_prob,zodiac_analyzer_score,f2_combo_veto,f5_recovery_triggered,f5_recovery_rate
马,0.0000,1.0000,3.0000,25.0000,0.4667,0.4685,0.5327,14.5000,0.0000,0.0000,0.0000
蛇,1.0000,0.0000,4.0000,23.0000,0.5917,0.6263,0.3929,2.0000,0.0000,1.0000,0.5263
龙,0.0000,2.0000,2.0000,16.0000,0.4417,0.4763,0.5463,4.0000,0.0000,0.0000,0.0000
兔,3.0000,0.0000,2.0000,31.0000,0.4417,0.4319,0.5584,13.5000,0.0000,0.0000,0.0000
虎,0.0000,1.0000,4.0000,20.0000,0.7667,0.6136,0.4170,6.0000,1.0000,0.0000,0.0000
牛,3.0000,0.0000,1.0000,27.0000,0.3167,0.4504,0.5409,6.5000,0.0000,0.0000,0.0000
鼠,0.0000,3.0000,4.0000,26.0000,0.6917,0.6812,0.4120,2.0000,0.0000,0.0000,0.0000
猪,1.0000,0.0000,2.0000,28.0000,0.4833,0.4319,0.5584,8.0000,0.0000,1.0000,0.4444
狗,10.0000,0.0000,0.0000,22.0000,0.0833,0.3423,0.5479,2.0000,1.0000,0.0000,0.0000
鸡,0.0000,1.0000,3.0000,27.0000,0.6500,0.4685,0.5327,12.0000,1.0000,0.0000,0.0000
猴,4.0000,0.0000,1.0000,25.0000,0.2583,0.4504,0.5409,19.5000,0.0000,0.0000,0.0000
羊,0.0000,1.0000,2.0000,18.0000,0.4417,0.4526,0.5429,14.5000,1.0000,0.0000,0.0000
